portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
100791.98798179626,13530.69224357605,0.13424372824177044,0.0658,0.0656,0.0912,0.1002,0.1606,0.0654,0.1785,0.0656,0.0728,0.0,0.0,402,174,146,148,432,125,384,207,178,0,0
101452.39349555969,26968.12268447876,0.26582046766258977,0.0603,0.1157,0.0892,0.0603,0.0643,0.0601,0.06,0.1641,0.0601,0.0,0.0,367,303,142,89,173,116,129,519,147,0,0
101407.32035446167,21114.185077667236,0.20821164590351257,0.0982,0.0606,0.0604,0.1651,0.0605,0.0605,0.0606,0.0606,0.1653,0.0,0.0,598,159,96,244,163,117,131,191,403,0,0
100917.94186401367,10034.66301727295,0.0994338849160697,0.1328,0.1114,0.0485,0.1324,0.1164,0.0487,0.1326,0.0487,0.129,0.0,0.0,812,293,77,196,314,94,288,153,315,0,0
101077.23676300049,13261.403783798218,0.13120069571047652,0.0874,0.0647,0.0941,0.0906,0.0644,0.0909,0.0716,0.1291,0.1759,0.0,0.0,535,170,149,134,174,176,155,406,430,0,0
100980.10570144653,12843.309511184692,0.12718653265383453,0.0627,0.0628,0.0779,0.1588,0.1707,0.0625,0.1,0.0628,0.1146,0.0,0.0,383,165,124,234,462,120,216,200,279,0,0
101101.38277816772,25581.974964141846,0.25303288897910237,0.0548,0.0548,0.0547,0.1489,0.0546,0.1487,0.0544,0.1215,0.0546,0.0,0.0,332,144,87,218,148,288,117,393,133,0,0
100468.83821296692,10326.52163696289,0.10278332884743269,0.1233,0.0505,0.0503,0.1371,0.0505,0.1374,0.1374,0.0736,0.1372,0.0,0.0,749,133,80,201,137,268,297,237,336,0,0
100359.7137966156,14934.272603988647,0.14880744512936495,0.0736,0.0788,0.0962,0.0736,0.0735,0.1142,0.1043,0.1229,0.1143,0.0,0.0,444,208,153,108,202,221,225,400,281,0,0
99868.27435874939,12291.974481582642,0.12308187520520375,0.0788,0.0602,0.0647,0.1162,0.0603,0.1637,0.1091,0.0601,0.1638,0.0,0.0,476,160,103,171,165,317,236,196,402,0,0
99880.02805137634,12868.947900772095,0.12884405573206847,0.0639,0.0886,0.0635,0.1697,0.0639,0.1187,0.0656,0.0637,0.1737,0.0,0.0,385,236,101,250,174,230,142,208,426,0,0
100846.48313522339,11220.799980163574,0.1112661506015811,0.055,0.0702,0.0548,0.055,0.0551,0.1496,0.1498,0.1496,0.1497,0.0,0.0,330,186,87,81,150,289,324,491,367,0,0
101101.27331352234,11478.914337158203,0.1135387711840311,0.1397,0.0554,0.055,0.0972,0.0556,0.1511,0.14,0.1369,0.0555,0.0,0.0,837,147,87,143,152,294,302,447,136,0,0
100444.95899963379,16918.48411178589,0.16843537276816023,0.054,0.0583,0.1465,0.1464,0.0771,0.0537,0.1466,0.095,0.0539,0.0,0.0,323,155,233,215,210,105,316,311,132,0,0
100092.33283424377,18913.715433120728,0.1889626797333465,0.0662,0.066,0.0809,0.066,0.0662,0.0794,0.066,0.18,0.1404,0.0,0.0,396,176,128,97,181,155,143,588,345,0,0
100551.51115608215,12368.532302856445,0.12300692610832333,0.1298,0.0605,0.06,0.109,0.0603,0.1644,0.0681,0.0603,0.1645,0.0,0.0,776,161,95,160,164,320,148,197,404,0,0
100725.46425247192,27742.2315826416,0.27542421162839936,0.0624,0.0623,0.0619,0.0977,0.1625,0.0619,0.0916,0.0623,0.0621,0.0,0.0,374,166,98,143,440,121,199,202,152,0,0
101452.11937713623,11289.818475723267,0.11128223387581195,0.1114,0.0545,0.0547,0.1284,0.06,0.1487,0.1487,0.094,0.0883,0.0,0.0,667,145,86,187,162,293,322,303,216,0,0
100793.46170806885,12213.221698760986,0.12117077330010263,0.1579,0.1621,0.0972,0.1198,0.0596,0.0592,0.0897,0.0736,0.0597,0.0,0.0,955,432,152,174,160,117,194,238,146,0,0
101479.89981079102,21095.83411216736,0.20788189731661622,0.0612,0.0612,0.0672,0.11,0.0613,0.0611,0.061,0.1567,0.1524,0.0,0.0,367,163,105,160,165,120,132,511,374,0,0
101273.67985916138,23985.288570404053,0.2368363488298219,0.0616,0.0614,0.0611,0.0616,0.0615,0.1673,0.0614,0.0982,0.1291,0.0,0.0,368,163,95,89,166,327,133,324,317,0,0
100651.46362686157,11354.477571487427,0.11280986050616333,0.1504,0.0551,0.0551,0.1113,0.0553,0.0854,0.1253,0.0989,0.1504,0.0,0.0,900,146,86,161,149,167,272,327,372,0,0
100295.0083694458,14324.795415878296,0.14282660372400197,0.1025,0.0703,0.124,0.1574,0.0703,0.0701,0.0761,0.1155,0.071,0.0,0.0,615,186,192,227,189,138,166,383,175,0,0
100407.8124217987,12153.56149482727,0.1210419906747088,0.0892,0.1126,0.0593,0.1245,0.0596,0.1619,0.0592,0.0594,0.1533,0.0,0.0,534,301,92,179,160,318,129,196,380,0,0
98620.61887550354,10683.389019012451,0.10832814821917638,0.1445,0.0529,0.0531,0.1017,0.053,0.1445,0.1444,0.0531,0.1445,0.0,0.0,871,142,83,147,142,284,315,173,360,0,0
98870.47315979004,12601.459281921387,0.12745422247100477,0.1429,0.0625,0.0628,0.1705,0.0628,0.0623,0.0755,0.0626,0.1706,0.0,0.0,860,168,98,246,169,122,165,205,425,0,0
99554.781873703,12381.85397720337,0.1243722676517057,0.1655,0.0607,0.0605,0.165,0.0609,0.0606,0.1297,0.0638,0.1091,0.0,0.0,988,163,94,237,163,121,284,209,272,0,0
99474.08549690247,10956.494459152222,0.11014420896076896,0.148,0.0817,0.0545,0.1273,0.0542,0.074,0.1478,0.0544,0.148,0.0,0.0,887,219,85,183,145,147,324,176,370,0,0
99096.62083816528,12420.266414642334,0.12533491363873925,0.1678,0.0675,0.0617,0.101,0.0615,0.1676,0.1213,0.0617,0.0645,0.0,0.0,1006,181,96,145,164,336,266,198,162,0,0
99761.27772521973,29192.981107711792,0.29262838020299115,0.0535,0.0534,0.1065,0.0531,0.1452,0.053,0.0534,0.131,0.0584,0.0,0.0,322,144,166,76,382,106,117,413,148,0,0
98736.22564697266,24848.136625289917,0.2516618035829465,0.0625,0.0623,0.0739,0.0623,0.0623,0.0797,0.0625,0.1699,0.113,0.0,0.0,379,169,116,90,164,161,138,533,290,0,0
98733.15810394287,12740.147302627563,0.12903615712580746,0.0633,0.0632,0.0634,0.1466,0.0635,0.1721,0.0632,0.0634,0.1724,0.0,0.0,381,172,99,211,167,346,139,201,441,0,0
99705.20529556274,11009.884590148926,0.1104243710998999,0.1433,0.0547,0.0546,0.1487,0.0544,0.1486,0.0818,0.0546,0.1487,0.0,0.0,861,148,85,213,143,300,180,174,379,0,0
100632.38199234009,23132.073970794678,0.22986710155142148,0.0618,0.0617,0.0617,0.0681,0.0876,0.0618,0.168,0.0616,0.138,0.0,0.0,370,166,96,97,230,125,369,198,351,0,0
100915.89840698242,13720.870697021484,0.13596342017079174,0.1829,0.0673,0.0673,0.1282,0.0673,0.067,0.1293,0.0877,0.067,0.0,0.0,1096,181,104,183,177,135,284,283,170,0,0
100867.309009552,17227.46877861023,0.17079338140148867,0.0642,0.064,0.0642,0.0637,0.0641,0.0644,0.0957,0.1744,0.1745,0.0,0.0,381,172,99,91,169,132,211,560,446,0,0
101420.09786605835,12738.878023147583,0.12560506537837632,0.0617,0.0615,0.0615,0.1674,0.0621,0.1676,0.1342,0.0616,0.0967,0.0,0.0,365,164,95,239,163,345,296,196,249,0,0
