portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
112293.29205322266,14897.890306472778,0.1326694590039426,0.0656,0.0655,0.0655,0.0719,0.0656,0.1782,0.1114,0.1783,0.0655,0.0,0.0,573,272,181,161,240,385,357,741,229,0,0
111711.29582500458,12607.499206542969,0.11285787272839964,0.0722,0.1516,0.1468,0.106,0.0557,0.1116,0.0927,0.0556,0.095,0.0,0.0,631,623,408,239,204,241,297,232,332,0,0
112743.84674453735,14803.951063156128,0.13130606672220368,0.0652,0.0653,0.0653,0.0652,0.0653,0.1772,0.0653,0.1226,0.1773,0.0,0.0,568,268,182,147,241,380,208,511,619,0,0
112865.1929321289,14723.834079742432,0.1304550472757049,0.0646,0.0645,0.0644,0.1224,0.0696,0.1753,0.0685,0.0646,0.1756,0.0,0.0,562,265,181,277,260,371,218,271,613,0,0
112970.64698410034,13676.597385406494,0.12106328281302452,0.1624,0.0596,0.0596,0.11,0.0597,0.1065,0.0595,0.0993,0.1624,0.0,0.0,1411,246,166,248,223,226,189,416,568,0,0
111938.3147392273,16488.325910568237,0.1472983218389487,0.133,0.0728,0.0725,0.086,0.0726,0.1978,0.0727,0.0727,0.0726,0.0,0.0,1157,301,200,194,269,421,231,307,255,0,0
111725.79476928711,34322.669832229614,0.30720452607301346,0.145,0.0579,0.0563,0.0558,0.0563,0.0561,0.0563,0.1529,0.0562,0.0,0.0,1267,239,155,126,209,119,179,649,197,0,0
111492.55184745789,14143.735521316528,0.12685811999951113,0.0597,0.0596,0.1186,0.0642,0.0596,0.0596,0.13,0.1593,0.1624,0.0,0.0,520,246,327,145,219,127,414,682,570,0,0
111912.07989501953,23191.907148361206,0.2072332778563016,0.0652,0.0912,0.1212,0.065,0.0652,0.0652,0.0651,0.1392,0.1154,0.0,0.0,564,376,332,146,240,138,207,605,403,0,0
111128.77077293396,14860.883085250854,0.1337266936535782,0.0859,0.066,0.089,0.0684,0.066,0.1795,0.0658,0.066,0.1797,0.0,0.0,738,271,246,154,246,378,209,289,625,0,0
111412.67373085022,28938.470828056335,0.2597412830964424,0.0553,0.0553,0.0553,0.1506,0.0552,0.1077,0.1504,0.0552,0.0552,0.0,0.0,471,226,152,340,207,228,476,242,192,0,0
110273.2328748703,13003.942769050598,0.11792474411089848,0.0839,0.0583,0.0582,0.1137,0.0619,0.1585,0.1309,0.0582,0.1585,0.0,0.0,719,238,162,257,234,339,414,254,554,0,0
110819.90391921997,18171.269989967346,0.16397117618160853,0.0673,0.0943,0.0625,0.1707,0.0628,0.0625,0.0828,0.0626,0.1705,0.0,0.0,579,385,174,386,236,133,262,274,596,0,0
110445.85356998444,12615.321879386902,0.1142217790131266,0.1539,0.0704,0.0563,0.1538,0.0569,0.1538,0.1051,0.0565,0.0791,0.0,0.0,1331,288,157,348,213,329,333,247,276,0,0
108987.64481163025,11682.591872215271,0.1071918921856416,0.1435,0.0942,0.0526,0.1432,0.0671,0.0524,0.1435,0.0528,0.1435,0.0,0.0,1245,384,147,325,251,112,457,230,505,0,0
