date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2018-03-19,99751.02422332764,13223.65343284607,0.1325665930330729,0.1301,0.0477,0.1199,0.0543,0.13,0.0475,0.074,0.0867,0.0474,0.1299,0.0,521,75,161,56,299,99,110,218,94,535,0,5002.837921142578,4775.197799682617
2018-03-20,99809.62699508667,14854.224313735962,0.14882556684103418,0.1466,0.054,0.0537,0.0537,0.1465,0.0537,0.054,0.0886,0.0538,0.1467,0.0,586,85,72,55,338,111,80,224,107,605,0,7107.1174659729,8737.688346862793
2018-03-21,99609.31432151794,12036.225522994995,0.12083433768196203,0.1553,0.0569,0.0565,0.0723,0.1552,0.0567,0.0568,0.0569,0.0571,0.1553,0.0,620,90,76,74,362,114,84,144,112,645,0,5965.240306854248,3147.2415161132812
2018-03-22,97946.20887565613,13911.192174911499,0.14202889866387705,0.1386,0.0508,0.0507,0.0506,0.1384,0.0506,0.0506,0.1384,0.0508,0.1386,0.0,565,81,69,52,320,102,76,343,101,568,0,7863.527389526367,9738.494041442871
2018-03-23,96428.16752052307,13707.737924575806,0.14215491465871058,0.1387,0.0508,0.0504,0.0503,0.1384,0.0506,0.1385,0.0509,0.0506,0.1386,0.0,574,82,69,52,319,101,208,126,101,568,0,8747.734169006348,8544.279918670654
2018-03-26,98227.91702842712,12503.775453567505,0.1272935009906493,0.1234,0.0448,0.123,0.0763,0.1231,0.045,0.1232,0.0453,0.0452,0.1233,0.0,504,71,168,78,285,90,184,113,90,508,0,9617.14370727539,8413.18123626709
2018-03-27,97383.35183906555,13727.487852096558,0.14096339459317875,0.0506,0.0555,0.0503,0.0503,0.1376,0.1379,0.0506,0.0504,0.1378,0.1378,0.0,209,90,69,52,316,276,76,123,275,562,0,22225.619174957275,23449.331573486328
2018-03-28,97303.01253890991,13710.698398590088,0.14090723443025363,0.1387,0.0509,0.0507,0.0507,0.1383,0.051,0.0505,0.1386,0.051,0.1387,0.0,571,83,69,53,313,104,76,338,103,555,0,17229.198371887207,17212.408918380737
2018-03-29,98123.08194541931,12268.225858688354,0.12502894951375987,0.1133,0.0446,0.1166,0.0923,0.1222,0.0447,0.0515,0.1223,0.045,0.1224,0.0,464,72,159,96,277,90,77,299,90,494,0,10601.677955627441,9159.205415725708
2018-04-02,96435.34221076965,14397.389484405518,0.14929577843917946,0.0537,0.0726,0.0532,0.0913,0.1458,0.0535,0.0533,0.128,0.0533,0.1459,0.0,221,118,73,96,333,108,80,310,107,586,0,9611.907196044922,11741.070821762085
2018-04-03,97298.27384185791,14858.954801559448,0.15271550269956688,0.0552,0.0548,0.055,0.0554,0.1504,0.0551,0.0656,0.1503,0.0551,0.1504,0.0,226,89,75,58,342,110,98,366,110,607,0,4806.336126327515,5267.901443481445
2018-04-04,98091.26553535461,14678.707178115845,0.14964336628754435,0.1463,0.0533,0.1034,0.053,0.0536,0.0596,0.1274,0.0539,0.0535,0.1464,0.0,598,86,140,55,121,120,191,132,107,589,0,20205.882133483887,20025.634510040283
2018-04-05,98687.38001441956,13045.674154281616,0.13219191909214195,0.0478,0.1175,0.0535,0.0758,0.1298,0.0477,0.0475,0.0887,0.1296,0.1298,0.0,195,190,73,78,294,95,71,217,256,525,0,26961.585163116455,25328.552139282227
2018-04-06,97146.02542114258,11090.646062850952,0.1141646919137591,0.1485,0.0545,0.0545,0.0821,0.0879,0.0546,0.0628,0.0787,0.1485,0.1136,0.0,611,89,75,85,198,109,95,191,296,457,0,14791.350387573242,12836.322296142578
2018-04-09,97393.0023651123,7045.909908294678,0.07234513504246001,0.155,0.0567,0.0564,0.1547,0.0566,0.0568,0.1177,0.1549,0.0569,0.062,0.0,636,92,77,161,128,113,179,376,113,250,0,21027.797330856323,16983.06117630005
2018-04-10,98358.69246292114,7297.405782699585,0.07419177298895602,0.0541,0.0538,0.0538,0.1474,0.1476,0.0539,0.1475,0.0542,0.1475,0.0661,0.0,221,86,73,153,336,105,223,134,290,271,0,21201.98950958252,21453.485383987427
2018-04-11,98000.10751152039,13925.955350875854,0.14210142931974631,0.1394,0.0511,0.0507,0.0511,0.051,0.0511,0.1225,0.1395,0.0618,0.1396,0.0,574,82,69,53,116,98,186,344,122,569,0,23918.207481384277,30546.757049560547
2018-04-12,98242.73949241638,5445.919542312622,0.05543330296416467,0.143,0.0523,0.0523,0.111,0.0526,0.1429,0.1427,0.0523,0.143,0.0525,0.0,580,83,71,115,120,275,214,131,280,217,0,25201.709564208984,16721.673755645752
2018-04-13,98150.47548675537,14747.627319335938,0.15025528145633907,0.0695,0.054,0.0538,0.0538,0.1472,0.0542,0.0572,0.0649,0.1476,0.1475,0.0,286,86,73,56,334,103,86,161,289,606,0,20518.624849319458,29820.332626342773
2018-04-16,98917.54011917114,5746.959335327148,0.058098486157293086,0.1519,0.0559,0.0553,0.0557,0.1521,0.0559,0.1514,0.0559,0.152,0.0558,0.0,627,89,75,58,344,106,227,138,296,230,0,18946.953594207764,9946.285610198975
2018-04-17,99647.6347618103,14063.172477722168,0.14112901436484313,0.1385,0.0508,0.0509,0.1379,0.1385,0.051,0.0508,0.0508,0.051,0.1386,0.0,576,80,69,142,315,97,76,125,99,568,0,16351.73775100708,24667.9508934021
2018-04-18,99649.23161697388,4826.460639953613,0.048434499309591185,0.1249,0.1248,0.1248,0.0956,0.0939,0.0459,0.1248,0.0457,0.1251,0.046,0.0,522,197,169,98,215,86,185,113,241,189,0,29416.907917022705,20180.19607925415
2018-04-19,99049.5053691864,13465.967262268066,0.13595188801878896,0.133,0.0485,0.1326,0.0489,0.1331,0.0489,0.0555,0.0818,0.0485,0.1332,0.0,544,77,180,50,312,91,82,201,94,553,0,17928.547271728516,26568.05389404297
2018-04-20,98384.44110870361,14086.698867797852,0.14318014829431874,0.1398,0.0513,0.0509,0.0507,0.1397,0.0512,0.131,0.0512,0.0512,0.1399,0.0,568,82,69,52,331,95,193,126,99,582,0,10431.837085723877,11052.568691253662
2018-04-23,98396.56602478027,16370.565469741821,0.1663733413787941,0.0765,0.0598,0.0726,0.0596,0.1632,0.0596,0.0596,0.0597,0.0598,0.1632,0.0,311,96,98,61,387,110,88,147,116,678,0,10935.729621887207,13219.596223831177
2018-04-24,97666.83852005005,14018.578609466553,0.14353468200558858,0.1413,0.0518,0.0518,0.0514,0.1224,0.0518,0.0518,0.1413,0.0516,0.1413,0.0,574,84,70,53,290,96,78,343,102,582,0,14209.37737083435,11857.390510559082
2018-04-25,97761.93980026245,12315.016914367676,0.1259694410680527,0.1231,0.0752,0.0446,0.1196,0.1229,0.0451,0.123,0.0523,0.0452,0.123,0.0,501,122,60,123,291,83,185,127,89,509,0,15938.354167938232,14234.792472839355
2018-04-26,98470.65089035034,16613.92377090454,0.16871954862372732,0.0727,0.0611,0.0605,0.0608,0.1662,0.0608,0.0612,0.0611,0.0609,0.166,0.0,298,98,81,62,394,111,93,148,120,683,0,13900.955940246582,18199.862796783447
2018-04-27,98798.04961395264,15541.441581726074,0.15730514562234083,0.0575,0.057,0.0568,0.057,0.0575,0.0567,0.1328,0.0569,0.1553,0.1552,0.0,236,92,76,58,136,105,203,137,308,632,0,16473.629638671875,15401.147449493408
2018-04-30,98116.54511260986,12101.344915390015,0.1233364352719627,0.1215,0.0446,0.0912,0.0443,0.1214,0.0446,0.1215,0.1214,0.0446,0.1214,0.0,500,72,123,45,287,82,187,291,89,493,0,22286.877906799316,18846.781240463257
2018-05-01,98036.2758846283,7462.079416275024,0.07611549244339512,0.1402,0.0578,0.0512,0.1017,0.1402,0.0514,0.1399,0.0516,0.0957,0.0943,0.0,576,92,69,103,334,95,216,124,191,380,0,18131.666526794434,13492.401027679443
2018-05-02,97301.31041908264,15884.466390609741,0.16325028226438454,0.0587,0.0582,0.1083,0.0583,0.1596,0.0586,0.0582,0.0587,0.0584,0.1599,0.0,242,92,147,59,385,107,90,140,116,642,0,15288.661945343018,23711.048919677734
2018-05-03,97143.32999229431,13809.093687057495,0.14215174308058898,0.1387,0.0508,0.0505,0.0502,0.1385,0.0509,0.0506,0.1383,0.0507,0.1386,0.0,576,80,69,51,334,93,78,330,100,556,0,15549.245552062988,13473.872848510742
2018-05-04,98065.56462669373,13428.646549224854,0.13693539215670347,0.1341,0.0494,0.0555,0.089,0.1338,0.049,0.1197,0.0492,0.0493,0.1341,0.0,555,77,76,90,321,90,184,118,97,537,0,11044.866516113281,10664.41937828064
