date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2014-03-04,101912.818983078,35547.43907737732,0.34880243164777686,0.0639,0.0639,0.0764,0.064,0.124,0.0673,0.0638,0.0639,0.0639,0.0,0.0,453,207,156,111,401,121,153,235,172,0,0,4253.975944519043,26176.92393875122
2014-03-05,101872.56492328644,29076.82370853424,0.28542349680142143,0.0519,0.052,0.1363,0.0515,0.1258,0.0518,0.0518,0.1415,0.0518,0.0,0.0,364,168,279,89,408,94,124,524,139,0,0,14295.596799850464,7824.981431007385
2014-03-06,101837.25816440582,31076.50674533844,0.3051585176730564,0.0609,0.0607,0.0646,0.0604,0.0845,0.0772,0.0605,0.1654,0.0606,0.0,0.0,425,196,133,104,274,139,144,615,162,0,0,9431.175525665283,11430.858562469482
2014-03-07,101903.79936599731,32201.406076431274,0.31599809110921195,0.0578,0.0577,0.0576,0.0574,0.1236,0.0573,0.0578,0.1571,0.0577,0.0,0.0,402,187,119,99,400,103,137,583,155,0,0,3967.587604522705,5092.48693561554
2014-03-10,101856.4178199768,17017.377787590027,0.16707221942231368,0.0571,0.0799,0.1323,0.0729,0.1371,0.0624,0.0584,0.1506,0.0822,0.0,0.0,397,259,272,126,443,112,139,560,221,0,0,15887.370849609375,703.3425607681274
2014-03-11,101479.62284088135,33138.89126968384,0.32655709926755605,0.0597,0.0615,0.0595,0.0594,0.1239,0.1311,0.0594,0.0595,0.0595,0.0,0.0,416,199,122,103,399,237,142,221,161,0,0,7422.221472740173,23543.734954833984
2014-03-12,101558.85710716248,12621.433966636658,0.12427703822344931,0.0614,0.094,0.0613,0.0904,0.0612,0.167,0.1123,0.0613,0.1669,0.0,0.0,429,304,126,157,197,302,269,225,452,0,0,26894.595314979553,6377.138011932373
2014-03-13,100745.56290054321,12315.391903877258,0.12224252413017045,0.1616,0.0599,0.06,0.1502,0.0602,0.0662,0.0821,0.0738,0.1637,0.0,0.0,1133,195,124,262,193,120,198,266,443,0,0,17324.540815353394,17018.498752593994
2014-03-14,100569.56064224243,30352.21129322052,0.30180316091061477,0.0549,0.1071,0.0998,0.0545,0.1028,0.0548,0.0761,0.0933,0.0548,0.0,0.0,387,350,207,95,329,99,184,334,148,0,0,14981.49037361145,33018.30976295471
2014-03-17,101179.98862361908,28269.071711540222,0.27939390087005006,0.051,0.0508,0.1244,0.0643,0.1387,0.0509,0.0508,0.1388,0.0508,0.0,0.0,358,165,257,112,444,92,122,497,137,0,0,11679.741445541382,9596.601863861084
